,bmiz06,whz06,waz06,haz06
hhid,-0.02722924488869324,-0.039226469134628315,0.03231697656026179,0.050915539903699104
land_size,-0.02300880442343337,0.04524814617742745,0.05601846961454908,0.05597809611149334
land_size_pc,-0.048922990757136645,0.022741712826825758,0.09011734067125737,0.10888106308279351
cid,-0.02722947424425054,-0.0392268437435792,0.032317053389837536,0.05091597398646633
hh_weight,-0.01663025876367951,-0.04690319788008758,-0.02008230340409605,0.00720042846142762
hhsize,0.09442203241763258,0.06224082791536127,-0.03418693772828036,-0.09716083824116452
numadult,0.037046098597502394,0.02507328243381169,0.03669815529279989,0.011362730814089303
numchildren,0.09915019086129445,0.06477578464658906,-0.07345832345547769,-0.13928613378925284
numwomen,0.04425638257529342,-0.020032037939556296,-0.030502642770563478,-0.04139988244222565
depend_ratio,0.05659384138242449,0.04201525047044099,-0.03107209172675632,-0.06813179149655639
hh_age,0.10120904142865286,0.07948464124908634,0.02997814273042204,-0.04302824348211749
age_ave,0.09966147621381437,0.0762176073692703,0.02823937685697922,-0.04294067779747932
edu,-0.0306576461444167,0.06370009722216767,0.14201462955680974,0.11478480277827477
educ_ave,-0.07268990960135951,0.004282622843728782,0.12249666158018435,0.143937878424884
educ_max,-0.06184906575665284,0.0292729424196935,0.11773387834914878,0.12563500369561972
hh_edu,-0.029547204763152996,0.05891355203018751,0.13106992106659687,0.10546658401045461
hh_male_edu,-0.05671895135034475,0.0425644810860916,0.12758723549167253,0.11827861353095544
hh_fem_edu,0.048441930411871205,0.05115489589210026,0.05985279003277466,0.031554919908374154
outsidefood,-0.01717762146604341,-0.029197564358313437,-0.037007249492057435,-0.0097943339559621
outside_eat,-0.04036349542484719,-0.03583340783647105,-0.0157965424914093,0.036891820533176724
outside_eat_m,0.014510459625881784,0.022429116835262025,0.001170759502533094,-0.013192296566239596
outsidefood_m,-0.008134823213605102,-0.03182041194508949,-0.03267796027433452,-0.013364534178837406
outside_eat_f,-0.036396809897638896,-0.0725993962687084,-0.022188383363317937,0.03630264349259521
outsidefood_f,0.20203503221335184,-0.04391083060779083,-0.02803472767370638,-0.16686872987868626
outside_eat_c,0.0013255040042906819,0.022310644571421442,-0.04046196885808276,-0.04410670226358665
outsidefood_c,0.04209716511541471,0.0855791679606418,-0.045511449400701696,-0.09356638701243777
insidefoodyr,-0.0005921275860131193,0.024010187464686555,0.10963477051106152,0.10418901482785999
